,precision,recall,f1-score,support
dis,0.9310344827586207,0.84375,0.8852459016393444,32.0
gio,0.75,0.72,0.7346938775510204,25.0
neu,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
pau,0.6923076923076923,0.8571428571428571,0.7659574468085107,21.0
rab,0.8125,0.9285714285714286,0.8666666666666666,14.0
sor,0.8461538461538461,0.7333333333333333,0.7857142857142856,30.0
tri,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
accuracy,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.8426966292134831
macro avg,0.8369072430033021,0.848562925170068,0.8399652678745261,178.0
weighted avg,0.8481972550889637,0.8426966292134831,0.8429577954367814,178.0
